active_pokemon_types,active_pokemon_levitate,active_pokemon_weight,active_pokemon_hp,active_pokemon_attack,active_pokemon_defense,active_pokemon_special_attack,active_pokemon_special_defense,active_pokemon_speed,opponent_pokemon_types,opponent_pokemon_levitate,opponent_pokemon_weight,opponent_pokemon_hp,opponent_pokemon_attack,opponent_pokemon_defense,opponent_pokemon_special_attack,opponent_pokemon_special_defense,opponent_pokemon_speed,entering_pokemon_types,entering_pokemon_levitate,entering_pokemon_weight,entering_pokemon_hp,entering_pokemon_attack,entering_pokemon_defense,entering_pokemon_special_attack,entering_pokemon_special_defense,entering_pokemon_speed,active_attack,active_defense,active_special_attack,active_special_defense,active_speed,opponent_attack,opponent_defense,opponent_special_attack,opponent_special_defense,opponent_speed,move
bug;flying,0,51.5,86,76,86,116,56,95,bug;flying,0,51.5,86,76,86,116,56,95,water,0,10.0,20,10,55,15,20,80,0,0,1,0,5,0,0,-2,0,0,Protect
flying;steel,0,75.0,98,87,105,53,85,67,bug;flying,0,51.5,86,76,86,116,56,95,water,0,10.0,20,10,55,15,20,80,0,0,-2,0,0,0,0,1,0,5,Body Press
bug;flying,0,51.5,86,76,86,116,56,95,flying;steel,0,75.0,98,87,105,53,85,67,poison,0,52.5,73,100,60,100,60,65,0,0,1,0,7,0,0,-2,0,0,Switch
poison,0,52.5,73,100,60,100,60,65,flying;steel,0,75.0,98,87,105,53,85,67,water,0,10.0,20,10,55,15,20,80,0,0,1,0,7,0,0,-2,0,0,Switcheroo
flying;steel,0,75.0,98,87,105,53,85,67,flying;steel,0,75.0,98,87,105,53,85,67,water,0,10.0,20,10,55,15,20,80,0,2,-2,0,0,0,0,1,0,7,Iron Defense
flying;steel,0,75.0,98,87,105,53,85,67,flying;steel,0,75.0,98,87,105,53,85,67,water;psychic,0,79.5,95,75,80,100,110,30,0,2,-2,0,0,0,0,1,0,7,Switch
flying;steel,0,75.0,98,87,105,53,85,67,flying;steel,0,75.0,98,87,105,53,85,67,ghost;fairy,0,0.7,55,90,80,50,105,96,0,0,1,0,7,0,2,-2,0,0,Switch
flying;steel,0,75.0,98,87,105,53,85,67,flying;steel,0,75.0,98,87,105,53,85,67,fairy;fighting,0,35.0,74,130,90,120,60,116,0,2,-2,0,0,0,0,1,0,7,Switch
fairy;fighting,0,35.0,74,130,90,120,60,116,ghost;fairy,0,0.7,55,90,80,50,105,96,water,0,10.0,20,10,55,15,20,80,0,2,-2,0,0,0,0,1,-1,7,Shadow Ball
ghost;fairy,0,0.7,55,90,80,50,105,96,fairy;fighting,0,35.0,74,130,90,120,60,116,water,0,10.0,20,10,55,15,20,80,0,0,1,-1,7,0,2,-2,0,0,Play Rough
fairy;fighting,0,35.0,74,130,90,120,60,116,ghost;fairy,0,0.7,55,90,80,50,105,96,flying;steel,0,75.0,98,87,105,53,85,67,0,2,-2,0,0,0,0,1,-1,7,Switch
ghost;fairy,0,0.7,55,90,80,50,105,96,flying;steel,0,75.0,98,87,105,53,85,67,water,0,10.0,20,10,55,15,20,80,0,0,1,-1,7,0,2,-2,0,0,Shadow Sneak
grass,0,16.0,60,60,75,60,75,83,water,0,88.8,85,105,100,79,83,78,water,0,10.0,20,10,55,15,20,80,0,0,2,0,0,0,0,0,0,0,Leaf Storm
water,0,88.8,85,105,100,79,83,78,grass,0,16.0,60,60,75,60,75,83,dark;flying,0,9.0,70,55,75,45,65,60,0,0,0,0,0,0,0,2,0,0,Switch
grass,0,16.0,60,60,75,60,75,83,dark;flying,0,9.0,70,55,75,45,65,60,water,0,10.0,20,10,55,15,20,80,0,0,2,0,0,0,0,0,0,0,Glare
dark;flying,0,9.0,70,55,75,45,65,60,grass,0,16.0,60,60,75,60,75,83,ghost,0,0.4,60,65,65,134,114,70,0,0,0,0,0,0,0,4,0,0,Switch
grass,0,16.0,60,60,75,60,75,83,ghost,0,0.4,60,65,65,134,114,70,water,0,10.0,20,10,55,15,20,80,0,0,4,0,0,0,0,0,0,0,Glare
grass,0,90.0,100,125,90,60,70,85,bug;steel,0,118.0,70,130,100,55,80,65,steel;flying,0,50.5,65,80,140,40,70,70,0,0,0,0,0,0,0,0,0,0,Switch
bug;steel,0,118.0,70,130,100,55,80,65,steel;flying,0,50.5,65,80,140,40,70,70,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Flamethrower
steel;flying,0,50.5,65,80,140,40,70,70,bug;steel,0,118.0,70,130,100,55,80,65,water,0,31.6,165,75,80,40,45,65,0,0,0,0,0,0,0,0,0,0,Switch
bug;steel,0,118.0,70,130,100,55,80,65,steel;flying,0,50.5,65,80,140,40,70,70,water;bug,0,82.0,68,70,92,50,132,42,0,0,0,0,0,0,0,0,0,0,Switch
steel;flying,0,50.5,65,80,140,40,70,70,bug;steel,0,118.0,70,130,100,55,80,65,dark;ground,0,699.7,155,110,125,55,80,45,0,0,0,0,0,0,0,0,0,0,Switch
water;bug,0,82.0,68,70,92,50,132,42,dark;ground,0,699.7,155,110,125,55,80,45,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Infestation
dark;ground,0,699.7,155,110,125,55,80,45,water;bug,0,82.0,68,70,92,50,132,42,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Ruination
water;bug,0,82.0,68,70,92,50,132,42,dark;ground,0,699.7,155,110,125,55,80,45,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,-1,0,0,0,Liquidation
dark;ground,0,699.7,155,110,125,55,80,45,water;bug,0,82.0,68,70,92,50,132,42,dark,0,50.5,70,90,90,135,90,125,0,-1,0,0,0,0,0,0,0,0,Switch
dark;flying,0,27.3,100,125,52,105,52,71,dark,0,50.5,70,90,90,135,90,125,bug;steel,0,118.0,70,130,100,55,80,65,0,0,0,0,0,0,-1,0,0,0,U-turn
dark,0,50.5,70,90,90,135,90,125,dark;flying,0,27.3,100,125,52,105,52,71,fire;dragon,0,590.0,105,115,121,65,93,91,0,-1,0,0,0,0,0,0,0,0,Switch
dark;flying,0,27.3,100,125,52,105,52,71,dark,0,50.5,70,90,90,135,90,125,dark;flying,0,27.3,100,125,52,105,52,71,0,0,0,0,0,0,-1,0,0,0,Switch
fire;dragon,0,590.0,105,115,121,65,93,91,fire;dragon,0,590.0,105,115,121,65,93,91,water,0,10.0,20,10,55,15,20,80,1,-1,0,0,1,0,0,0,0,0,Dragon Dance
dark;flying,0,27.3,100,125,52,105,52,71,fire;dragon,0,590.0,105,115,121,65,93,91,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,1,-1,0,0,1,Sucker Punch
fire;dragon,0,590.0,105,115,121,65,93,91,dark;flying,0,27.3,100,125,52,105,52,71,water,0,31.6,165,75,80,40,45,65,1,-1,0,0,1,0,0,0,0,0,Switch
dark;flying,0,27.3,100,125,52,105,52,71,fire;dragon,0,590.0,105,115,121,65,93,91,bug;steel,0,118.0,70,130,100,55,80,65,0,0,0,0,0,1,-1,0,0,1,Switch
bug;steel,0,118.0,70,130,100,55,80,65,water,0,31.6,165,75,80,40,45,65,water;bug,0,82.0,68,70,92,50,132,42,0,0,0,0,0,1,-1,0,0,1,U-turn
water,0,31.6,165,75,80,40,45,65,water,0,31.6,165,75,80,40,45,65,water,0,10.0,20,10,55,15,20,80,1,-1,0,0,1,0,0,0,0,0,Wish
water,0,31.6,165,75,80,40,45,65,water,0,31.6,165,75,80,40,45,65,steel;flying,0,50.5,65,80,140,40,70,70,1,-1,0,0,1,0,0,0,0,0,Switch
water;bug,0,82.0,68,70,92,50,132,42,water;bug,0,82.0,68,70,92,50,132,42,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,1,-1,0,0,1,Protect
water;bug,0,82.0,68,70,92,50,132,42,water;bug,0,82.0,68,70,92,50,132,42,bug;steel,0,118.0,70,130,100,55,80,65,0,0,0,0,0,1,-1,0,0,1,Switch
steel;flying,0,50.5,65,80,140,40,70,70,steel;flying,0,50.5,65,80,140,40,70,70,water,0,10.0,20,10,55,15,20,80,1,1,0,0,1,0,0,0,0,0,Iron Defense
steel;flying,0,50.5,65,80,140,40,70,70,steel;flying,0,50.5,65,80,140,40,70,70,water,0,10.0,20,10,55,15,20,80,1,3,0,0,1,0,0,0,0,0,Iron Defense
bug;steel,0,118.0,70,130,100,55,80,65,steel;flying,0,50.5,65,80,140,40,70,70,electric,0,24.5,65,65,60,110,95,130,0,0,0,0,0,1,3,0,0,1,U-turn
steel;flying,0,50.5,65,80,140,40,70,70,bug;steel,0,118.0,70,130,100,55,80,65,grass,0,90.0,100,125,90,60,70,85,1,3,0,0,1,0,0,0,0,0,Switch
bug;steel,0,118.0,70,130,100,55,80,65,steel;flying,0,50.5,65,80,140,40,70,70,grass;fighting,0,39.2,60,130,80,60,60,70,0,0,0,0,0,1,3,0,0,1,Switch
grass,0,90.0,100,125,90,60,70,85,grass;fighting,0,39.2,60,130,80,60,60,70,grass,0,90.0,100,125,90,60,70,85,1,3,0,0,1,0,0,0,0,0,Switch
grass;fighting,0,39.2,60,130,80,60,60,70,grass,0,90.0,100,125,90,60,70,85,bug;steel,0,118.0,70,130,100,55,80,65,0,0,0,0,0,1,3,0,0,1,Switch
grass,0,90.0,100,125,90,60,70,85,grass;fighting,0,39.2,60,130,80,60,60,70,water,0,31.6,165,75,80,40,45,65,1,3,0,0,1,0,0,0,0,0,Switch
water,0,31.6,165,75,80,40,45,65,water,0,31.6,165,75,80,40,45,65,water,0,10.0,20,10,55,15,20,80,1,3,0,0,1,0,0,0,0,0,Protect
electric,0,24.5,65,65,60,110,95,130,water,0,31.6,165,75,80,40,45,65,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,1,3,0,0,1,Thunderbolt
water,0,31.6,165,75,80,40,45,65,water,0,31.6,165,75,80,40,45,65,water,0,10.0,20,10,55,15,20,80,1,3,0,0,1,0,0,0,0,0,Wish
water,0,31.6,165,75,80,40,45,65,water,0,31.6,165,75,80,40,45,65,dark;ground,0,699.7,155,110,125,55,80,45,1,3,0,0,1,0,0,0,0,0,Switch
water,0,31.6,165,75,80,40,45,65,water,0,31.6,165,75,80,40,45,65,water;bug,0,82.0,68,70,92,50,132,42,0,0,0,0,0,1,3,0,0,1,Switch
water;bug,0,82.0,68,70,92,50,132,42,dark;ground,0,699.7,155,110,125,55,80,45,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,1,2,0,0,1,Liquidation
