name,types,levitate,weight,hp,attack,defense,special_attack,special_defense,speed,weakness_bug,weakness_dark,weakness_dragon,weakness_electric,weakness_fairy,weakness_fighting,weakness_fire,weakness_flying,weakness_ghost,weakness_grass,weakness_ground,weakness_ice,weakness_normal,weakness_poison,weakness_psychic,weakness_rock,weakness_steel,weakness_water
Dondozo,water,0,220,150,100,115,65,65,35,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Dundunsparce,normal,0,43.3,125,100,80,85,75,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Espathra,psychic,0,90,95,60,60,101,60,105,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Farigiraf,normal;psychic,0,160,120,90,70,110,70,60,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
Fidough,fairy,0,10.9,37,55,70,30,55,65,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Finizen,water,0,60.2,70,45,40,45,40,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Flamigo,fighting;flying,0,37,82,115,74,75,64,90,0.25,0.5,1,2,2,0.5,1,2,1,0.5,0,2,1,1,2,1,1,1
Flittle,psychic,0,1.5,30,35,30,55,30,75,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Floragato,grass,0,12.2,61,80,63,60,63,83,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Flutter Mane,fairy;ghost,0,4,55,55,55,135,135,135,0.25,1,0,1,1,0,1,1,2,1,1,1,0,1,1,1,2,1
Frigibax,ice;dragon,0,17,65,75,45,35,45,55,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5
Fuecoco,fire,0,9.8,67,45,59,63,40,36,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Garganacl,rock,0,240,100,100,130,45,90,35,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Gholdengo,steel;ghost,0,30,87,60,95,133,91,84,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1
Gimmighoul,ghost,0,2.6,45,30,70,75,70,10,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Glimmet,poison;rock,0,8,48,35,42,105,60,60,0.5,1,1,1,0.5,1,0.5,0.5,1,1,4,1,0.5,0.25,2,1,2,2
Glimmora,rock;poison,0,45,83,55,90,130,81,86,0.5,1,1,1,0.5,1,0.5,0.5,1,1,4,1,0.5,0.25,2,1,2,2
Grafaiai,poison;normal,0,27.2,63,95,65,80,72,110,0.5,1,1,1,0.5,1,1,1,0,0.5,2,1,1,0.5,2,1,1,1
Great Tusk,ground;fighting,0,320,115,131,131,53,53,87,0.5,0.5,1,0,2,1,1,2,1,2,1,2,1,0.5,2,0.25,1,2
Greavard,ghost,0,35,50,61,60,30,55,34,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Houndstone,ghost,0,15,72,101,100,50,97,68,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Iron Bundle,ice;water,0,11,56,80,114,124,60,136,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
Iron Hands,fighting;electric,0,380.7,154,140,108,50,68,50,0.5,0.5,1,0.5,2,1,1,1,1,1,2,1,1,1,2,0.5,0.5,1
Iron Jugulis,dark;flying,0,111,94,80,86,122,80,108,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
Iron Moth,poison;fire,0,36,80,70,60,140,110,110,0.25,1,1,1,0.25,0.5,0.5,1,1,0.25,4,0.5,1,0.5,2,2,0.5,2
Iron Thorns,electric;rock,0,303,100,134,110,70,84,72,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2
Iron Treads,ground;steel,0,240,90,112,120,72,70,106,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
Iron Valiant,fighting;fairy,0,35,74,130,90,120,60,116,0.25,0.25,0,1,2,0.5,1,2,1,1,1,1,1,2,2,0.5,2,1
Kilowattrel,flying;electric,0,38.6,70,70,60,105,60,125,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
Kingambit,steel;dark,0,120,100,135,120,60,85,50,1,0.5,0.5,1,1,4,2,0.5,0.5,0.5,2,0.5,0.5,0,0,0.5,0.5,1
Klawf,rock,0,79,70,100,115,35,55,75,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Koraidon,fighting;dragon,0,303,100,135,115,85,100,135,0.5,0.5,2,0.5,4,1,0.5,2,1,0.5,1,2,1,1,2,0.5,1,0.5
Lechonk,normal,0,10.2,54,45,40,35,45,35,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Lokix,dark;bug,0,17.5,71,102,78,52,55,92,2,0.5,1,1,2,1,2,2,0.5,0.5,0.5,1,1,1,0,2,1,1
Mabosstiff,dark,0,61,80,120,90,60,70,85,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
Maschiff,dark,0,16,60,78,60,40,51,51,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
Maushold,normal,0,2.6,74,75,70,65,75,111,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Meowscarada,dark;grass,0,31.2,76,110,70,81,70,123,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
Miraidon,dragon;electric,0,240,100,85,100,135,115,135,1,1,2,0.25,2,1,0.5,0.5,1,0.5,2,2,1,1,1,1,0.5,0.5
Nacli,rock,0,16,55,55,75,35,35,25,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Naclstack,rock,0,105,60,60,100,35,65,35,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Nymble,bug,0,1,33,46,40,21,25,45,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Oinkologne,normal,0,120,110,100,75,59,80,65,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Orthworm,steel,0,310,70,85,145,60,55,65,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
Palafin,water,0,78.8,100,160,97,106,87,100,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Pawmi,electric,0,2.5,45,50,20,40,25,60,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Pawmo,fighting;electric,0,6.5,60,75,40,50,40,85,0.5,0.5,1,0.5,2,1,1,1,1,1,2,1,1,1,2,0.5,0.5,1
Pawmot,electric;fighting,0,41,70,115,70,70,60,105,0.5,0.5,1,0.5,2,1,1,1,1,1,2,1,1,1,2,0.5,0.5,1
Quaquaval,water;fighting,0,61.9,85,120,80,85,75,85,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5
Quaxly,water,0,6.1,55,65,45,50,45,50,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Quaxwell,water,0,21.5,70,85,65,65,60,65,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Rabsca,bug;psychic,0,3.5,75,50,85,115,100,45,2,2,1,1,1,0.25,2,2,2,0.5,0.5,1,1,1,0.5,2,1,1
Rellor,bug,0,1,41,50,60,31,58,30,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Revavroom,poison;steel,0,120,80,119,90,54,67,90,0.25,1,0.5,1,0.25,1,2,0.5,1,0.25,4,0.5,0.5,0,1,0.5,0.5,1
Roaring Moon,dark;dragon,0,380,105,139,71,55,101,119,2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5
Sandy Shocks,ground;electric,0,60,85,81,97,121,85,101,1,1,1,0,1,1,1,0.5,1,2,2,2,1,0.5,1,0.5,0.5,2
Scovillain,grass;fire,0,15,65,108,65,108,65,75,1,1,1,0.5,0.5,1,1,2,1,0.25,1,1,1,2,1,2,0.5,1
Scream Tail,psychic;fairy,0,8,115,65,99,65,115,111,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
Shroodle,normal;poison,0,0.7,40,65,35,40,35,75,0.5,1,1,1,0.5,1,1,1,0,0.5,2,1,1,0.5,2,1,1,1
Skeledirge,ghost;fire,0,326.5,104,75,100,110,75,66,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
Slither Wing,fighting;bug,0,92,85,135,79,85,105,81,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1
Smoliv,normal;grass,0,6.5,41,35,45,58,51,30,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5
Spidops,bug,0,16.5,60,79,92,52,86,35,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Sprigatito,grass,0,4.1,40,61,54,45,45,65,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Squawkabilly,normal;flying,0,2.4,82,96,51,45,51,92,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Tadbulb,electric,0,0.4,61,31,41,59,35,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Tandemaus,normal,0,1.8,50,50,45,40,45,75,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Tarountula,bug,0,4,35,41,45,29,40,20,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Tatsugiri,dragon;water,0,8,68,50,60,120,95,82,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25
Ting-Lu,dark;ground,0,699.7,155,110,125,55,80,45,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2
Tinkatink,fairy;steel,0,8.9,50,45,45,35,64,58,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1
Tinkaton,steel;fairy,0,112.8,85,75,77,70,105,94,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1
Tinkatuff,steel;fairy,0,59.1,65,55,55,45,82,78,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1
Toedscool,grass;ground,0,33,40,40,35,50,100,70,2,1,1,0,1,1,2,2,1,1,0.5,4,1,1,1,0.5,1,1
Toedscruel,grass;ground,0,58,80,70,65,80,120,100,2,1,1,0,1,1,2,2,1,1,0.5,4,1,1,1,0.5,1,1
Varoom,steel;poison,0,35,45,70,63,30,45,47,0.25,1,0.5,1,0.25,1,2,0.5,1,0.25,4,0.5,0.5,0,1,0.5,0.5,1
Veluza,water;psychic,0,90,90,102,73,78,65,70,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
Wattrel,flying;electric,0,3.6,40,40,35,55,40,70,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
Wiglett,water,0,1.8,10,55,25,35,25,95,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Wo-Chien,dark;grass,0,74.2,85,85,100,95,135,70,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
Wugtrio,water,0,5.4,35,100,50,50,70,120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
