name,category,type,power,accuracy,pp,priority
Cross Poison,physical,poison,70,100,20,0
Crunch,physical,dark,80,100,15,0
Curse,status,ghost,0,101,10,0
Dark Pulse,special,dark,80,100,15,0
Dazzling Gleam,special,fairy,80,100,10,0
Defense Curl,status,normal,0,101,40,0
Destiny Bond,status,ghost,0,101,5,0
Detect,status,fighting,0,101,5,4
Dig,physical,ground,80,100,10,0
Disable,status,normal,0,100,20,0
Disarming Voice,special,fairy,40,101,15,0
Discharge,special,electric,80,100,15,0
Dive,physical,water,80,100,10,0
Doodle,status,normal,0,100,10,0
Double-Edge,physical,normal,120,100,15,0
Double Hit,physical,normal,35,90,10,0
Double Kick,physical,fighting,30,100,30,0
Double Shock,physical,electric,120,100,5,0
Double Team,status,normal,0,101,15,0
Draco Meteor,special,dragon,130,90,5,0
Dragon Breath,special,dragon,60,100,20,0
Dragon Claw,physical,dragon,80,100,15,0
Dragon Dance,status,dragon,0,101,20,0
Dragon Pulse,special,dragon,85,100,10,0
Dragon Rush,physical,dragon,100,75,10,0
Dragon Tail,physical,dragon,60,90,10,-6
Drain Punch,physical,fighting,75,100,10,0
Draining Kiss,special,fairy,50,100,10,0
Drill Peck,physical,flying,80,100,20,0
Drill Run,physical,ground,80,95,10,0
Dual Wingbeat,physical,flying,40,90,10,0
Earth Power,special,ground,90,100,10,0
Earthquake,physical,ground,100,100,10,0
Echoed Voice,special,normal,40,100,15,0
Eerie Impulse,status,electric,0,100,15,0
Electric Terrain,status,electric,0,101,10,0
Electro Ball,special,electric,1,100,10,0
Electro Drift,special,electric,100,100,5,0
Ember,special,fire,40,100,25,0
Encore,status,normal,0,100,5,0
Endeavor,physical,normal,1,100,5,0
Endure,status,normal,0,101,10,4
Energy Ball,special,grass,90,100,10,0
Entrainment,status,normal,0,100,15,0
Expanding Force,special,psychic,80,100,10,0
Explosion,physical,normal,250,100,5,0
Extrasensory,special,psychic,80,100,20,0
Facade,physical,normal,70,100,20,0
Fairy Wind,special,fairy,40,100,30,0
Fake Out,physical,normal,40,100,10,3
Fake Tears,status,dark,0,100,20,0
False Swipe,physical,normal,40,100,40,0
Feather Dance,status,flying,0,100,15,0
Feint,physical,normal,30,100,10,2
Fiery Dance,special,fire,80,100,10,0
Fillet Away,physical,normal,0,101,10,0
Final Gambit,special,fighting,1,100,5,0
Fire Blast,special,fire,110,85,5,0
Fire Fang,physical,fire,65,95,15,0
Fire Pledge,special,fire,80,100,10,0
Fire Punch,physical,fire,75,100,15,0
Fire Spin,special,fire,35,85,15,0
First Impression,physical,bug,90,100,10,2
Fissure,physical,ground,1,30,5,0
Flail,physical,normal,1,100,15,0
Flame Charge,physical,fire,50,100,20,0
Flame Wheel,physical,fire,60,100,25,0
Flamethrower,special,fire,90,100,15,0
Flare Blitz,physical,fire,120,100,15,0
Flash Cannon,special,steel,80,100,10,0
Flatter,status,dark,0,100,15,0
Fling,physical,dark,1,100,10,0
Flip Turn,physical,water,60,100,20,0
Flower Trick,status,grass,70,101,10,0
Fly,physical,flying,90,95,15,0
Focus Blast,special,fighting,120,70,5,0
Focus Energy,status,normal,0,101,30,0
Focus Punch,physical,fighting,150,100,20,-3
Follow Me,status,normal,0,101,20,2
Force Palm,physical,fighting,60,100,10,0
Foul Play,physical,dark,95,100,15,0
Freeze-Dry,special,ice,70,100,20,0
Frenzy Plant,special,grass,150,90,5,0
Fury Attack,physical,normal,15,85,20,0
Fury Cutter,physical,bug,40,95,20,0
Fury Swipes,physical,normal,18,80,15,0
Future Sight,special,psychic,120,100,10,0
Gastro Acid,status,poison,0,100,10,0
Giga Drain,special,grass,75,100,10,0
Giga Impact,physical,normal,150,90,5,0
Gigaton Hammer,physical,steel,160,100,5,0
Glaive Rush,physical,dragon,120,100,5,0
Glare,status,normal,0,100,30,0
Grass Knot,special,grass,1,100,20,0
Grass Pledge,special,grass,80,100,10,0
Grassy Terrain,status,grass,0,101,10,0
Gravity,status,psychic,0,101,5,0
Growl,status,normal,0,100,40,0
Growth,status,normal,0,101,20,0
Guard Swap,status,psychic,0,101,10,0
Guillotine,physical,normal,1,30,5,0
Gunk Shot,physical,poison,120,80,5,0
Gust,special,flying,40,100,35,0
Gyro Ball,physical,steel,1,100,5,0
Hammer Arm,physical,fighting,100,90,10,0
Harden,status,normal,0,101,30,0
Haze,status,ice,0,101,30,0
Head Smash,physical,rock,150,80,5,0
Headbutt,physical,normal,70,100,15,0
Headlong Rush,physical,ground,120,100,5,0
Heat Wave,special,fire,95,90,10,0
Heavy Slam,physical,steel,1,100,10,0
Helping Hand,status,normal,0,101,20,5
Hex,special,ghost,65,100,10,0
High Horsepower,physical,ground,95,95,10,0
Hone Claws,status,dark,0,101,15,0
Horn Attack,physical,normal,65,100,25,0
Howl,status,normal,0,101,40,0
Hurricane,special,flying,110,70,10,0
Hydro Cannon,special,water,150,90,5,0
Hydro Pump,special,water,110,80,5,0
Hyper Beam,special,normal,150,90,5,0
Hyper Drill,physical,normal,100,100,5,0
Hyper Voice,special,normal,90,100,10,0
Hypnosis,status,psychic,0,60,20,0
Ice Beam,special,ice,90,100,10,0
Ice Fang,physical,ice,65,95,15,0
Ice Hammer,physical,ice,100,90,10,0
Ice Punch,physical,ice,75,100,15,0
Ice Shard,physical,ice,40,100,30,1
Ice Spinner,physical,ice,80,100,15,0
Icicle Crash,physical,ice,85,90,10,0
Icicle Spear,physical,ice,25,100,30,0
Icy Wind,special,ice,55,95,15,0
Imprison,status,psychic,0,101,10,0
Incinerate,special,fire,60,100,15,0
Inferno,special,fire,100,50,5,0
Infestation,special,bug,20,100,20,0
Ingrain,status,grass,0,101,20,0
Iron Defense,status,steel,0,101,15,0
Iron Head,physical,steel,80,100,15,0
Iron Tail,physical,steel,100,75,15,0
Jaw Lock,physical,dark,80,100,10,0
Jet Punch,physical,water,60,100,15,1
Knock Off,physical,dark,65,100,20,0
Kowtow Cleave,physical,dark,85,101,10,0
Last Resort,physical,normal,140,100,5,0
Last Respects,physical,ghost,50,100,10,0
Lava Plume,special,fire,80,100,15,0
Leaf Blade,physical,grass,90,100,15,0
Leaf Storm,special,grass,130,90,5,0
Leafage,physical,grass,40,100,40,0
Leech Life,physical,bug,80,100,10,0
Leech Seed,status,grass,0,90,10,0
Leer,status,normal,0,100,30,0
Lick,physical,ghost,30,100,30,0
Light Screen,status,psychic,0,101,30,0
Liquidation,physical,water,85,100,10,0
Low Kick,physical,fighting,1,100,20,0
Low Sweep,physical,fighting,65,100,20,0
Lumina Crash,special,psychic,80,100,10,0
Lunge,physical,bug,80,100,15,0
Mach Punch,physical,fighting,40,100,30,1
Magical Leaf,special,grass,60,101,20,0
Magnet Rise,status,electric,0,101,10,0
Magnetic Flux,status,electric,0,101,20,0
Make It Rain,special,steel,120,100,5,0
Mean Look,status,normal,0,101,5,0
Mega Drain,special,grass,40,100,15,0
Mega Kick,physical,normal,120,75,5,0
Megahorn,physical,bug,120,85,10,0
Memento,status,dark,0,100,10,0
Metal Burst,physical,steel,1,100,10,0
Metal Claw,physical,steel,50,95,35,0
Metal Sound,status,steel,0,85,40,0
Metronome,status,normal,0,101,10,0
Mimic,status,normal,0,101,10,0
Mirror Coat,special,psychic,1,100,20,-5
Mist,status,ice,0,101,30,0
Misty Terrain,status,fairy,0,101,10,0
Moonblast,special,fairy,95,100,15,0
Morning Sun,status,normal,0,101,5,0
Mortal Spin,physical,poison,30,100,15,0
Mud-Slap,special,ground,20,100,10,0
Mud Shot,special,ground,55,95,15,0
Muddy Water,special,water,90,85,10,0
Mystical Fire,special,fire,75,100,10,0
Nasty Plot,status,dark,0,101,20,0
Night Shade,special,ghost,1,100,15,0
Night Slash,physical,dark,70,100,15,0
Noble Roar,status,normal,0,100,30,0
Nuzzle,physical,electric,20,100,20,0
Order Up,physical,dragon,80,100,10,0
Outrage,physical,dragon,120,100,10,0
Overheat,special,fire,130,90,5,0
Pain Split,status,normal,0,101,20,0
Parabolic Charge,special,electric,65,100,20,0
Parting Shot,status,dark,0,100,20,0
Payback,physical,dark,50,100,10,0
Peck,physical,flying,35,100,35,0
Perish Song,status,normal,0,101,5,0
Petal Blizzard,physical,grass,90,100,15,0
Petal Dance,special,grass,120,100,10,0
Phantom Force,physical,ghost,90,100,10,0
Pin Missile,physical,bug,25,95,20,0
Play Rough,physical,fairy,90,90,10,0
Pluck,physical,flying,60,100,20,0
Poison Fang,physical,poison,50,100,15,0
Poison Gas,status,poison,0,90,40,0
Poison Jab,physical,poison,80,100,20,0
Poison Powder,status,poison,0,75,35,0
Poison Sting,physical,poison,15,100,35,0
Poison Tail,physical,poison,50,100,25,0
Pollen Puff,special,bug,90,100,15,0
Population Bomb,physical,normal,20,90,10,0
Pounce,physical,bug,50,100,20,0
Powder Snow,special,ice,40,100,25,0
Power Gem,special,rock,80,100,20,0
Power Swap,status,psychic,0,101,10,0
Power Trip,physical,dark,20,100,10,0
Power Whip,physical,grass,120,85,10,0
Present,physical,normal,1,90,15,0
Protect,status,normal,0,101,10,4
Psybeam,special,psychic,65,100,20,0
Psychic,special,psychic,90,100,10,0
Psychic Fangs,physical,psychic,85,100,10,0
Psychic Terrain,status,psychic,0,101,10,0
Psycho Cut,physical,psychic,70,100,20,0
Psyshock,special,psychic,80,100,10,0
Quash,status,dark,0,100,15,0
Quick Attack,physical,normal,40,100,30,1
Quick Guard,status,fighting,0,101,15,3
Rage Fist,physical,ghost,50,100,10,0
Rage Powder,status,bug,0,101,20,2
Rain Dance,status,water,0,101,5,0
Rapid Spin,physical,normal,50,100,40,0
Razor Leaf,physical,grass,55,95,25,0
Recover,status,normal,0,101,5,0
Reflect,status,psychic,0,101,20,0
Reflect Type,status,normal,0,101,15,0
Rest,status,psychic,0,101,5,0
Retaliate,physical,normal,70,100,5,0
Reversal,physical,fighting,1,100,15,0
Revival Blessing,status,normal,0,101,1,0
Roar,status,normal,0,101,20,-6
Rock Blast,physical,rock,25,90,10,0
Rock Polish,status,rock,0,101,20,0
Rock Slide,physical,rock,75,90,10,0
Rock Smash,physical,fighting,40,100,15,0
Rock Throw,physical,rock,50,90,15,0
Rock Tomb,physical,rock,60,95,15,0
Rollout,physical,rock,30,90,20,0
Roost,status,flying,0,101,5,0
Round,special,normal,60,100,15,0
Ruination,physical,dark,1,90,10,0
Sacred Sword,physical,fighting,90,100,15,0
Safeguard,status,normal,0,101,25,0
Salt Cure,physical,rock,40,100,15,0
Sand Attack,status,ground,0,100,15,0
Sand Tomb,physical,ground,35,85,15,0
Sandstorm,status,rock,0,101,10,0
Scale Shot,physical,dragon,25,90,20,0
Scary Face,status,normal,0,100,10,0
Scratch,physical,normal,40,100,35,0
Screech,status,normal,0,85,40,0
Seed Bomb,physical,grass,80,100,15,0
Seismic Toss,physical,fighting,1,100,20,0
Self-Destruct,physical,normal,200,100,5,0
Shadow Ball,special,ghost,80,100,15,0
Shadow Claw,physical,ghost,70,100,15,0
Shadow Punch,physical,ghost,60,101,20,0
Shadow Sneak,physical,ghost,40,100,30,1
Shed Tail,status,normal,0,101,10,0
Sheer Cold,special,ice,1,30,5,0
Shift Gear,status,steel,0,101,10,0
Shock Wave,special,electric,60,101,20,0
Silk Trap,status,bug,0,101,10,4
Sing,status,normal,0,55,15,0
Skill Swap,status,psychic,0,101,10,0
Skitter Smack,physical,bug,70,90,10,0
Sky Attack,physical,flying,140,90,5,0
Slack Off,status,normal,0,101,5,0
Slam,physical,normal,80,75,20,0
Slash,physical,normal,70,100,20,0
Sleep Talk,status,normal,0,101,10,0
Sludge,special,poison,65,100,20,0
Sludge Bomb,special,poison,90,100,10,0
Sludge Wave,special,poison,95,100,10,0
Smack Down,physical,rock,50,100,15,0
Smart Strike,physical,steel,70,101,10,0
Smog,special,poison,30,70,20,0
Snarl,special,dark,55,95,15,0
Snowscape,status,ice,0,101,10,0
Soak,status,water,0,100,20,0
Solar Beam,special,grass,120,100,10,0
Solar Blade,physical,grass,125,100,10,0
Spark,physical,electric,65,100,20,0
Speed Swap,status,psychic,0,101,10,0
Spicy Extract,status,grass,0,101,15,0
Spikes,status,ground,0,101,20,0
Spiky Shield,status,grass,0,101,10,4
Spin Out,physical,steel,100,100,5,0
Spirit Break,physical,fairy,75,100,15,0
Spit Up,special,normal,1,100,10,0
Spite,status,ghost,0,100,10,0
Splash,status,normal,0,101,40,0
Spore,status,grass,0,100,15,0
Stealth Rock,status,rock,0,101,20,0
Steel Beam,special,steel,140,95,5,0
Steel Roller,physical,steel,130,100,5,0
Sticky Web,status,bug,0,101,20,0
Stockpile,status,normal,0,101,20,0
Stomp,physical,normal,65,100,20,0
Stomping Tantrum,physical,ground,75,100,10,0
Stone Edge,physical,rock,100,80,5,0
Stored Power,special,psychic,20,100,10,0
Strength Sap,status,grass,0,100,10,0
String Shot,status,bug,0,95,40,0
Struggle Bug,special,bug,50,100,20,0
Stuff Cheeks,status,normal,0,101,10,0
Stun Spore,status,grass,0,75,30,0
Substitute,status,normal,0,101,10,0
Sucker Punch,physical,dark,70,100,5,1
Sunny Day,status,fire,0,101,5,0
Super Fang,physical,normal,1,90,10,0
Superpower,physical,fighting,120,100,5,0
Supersonic,status,normal,0,55,20,0
Surf,special,water,90,100,15,0
Swagger,status,normal,0,85,15,0
Swallow,status,normal,0,101,10,0
Sweet Kiss,status,fairy,0,75,10,0
Sweet Scent,status,normal,0,100,20,0
Swift,special,normal,60,101,20,0
Switcheroo,status,dark,0,100,10,0
Swords Dance,status,normal,0,101,20,0
Synthesis,status,grass,0,101,5,0
Tackle,physical,normal,40,100,35,0
Tail Whip,status,normal,0,100,30,0
Tailwind,status,flying,0,101,15,0
Take Down,physical,normal,90,85,20,0
Taunt,status,dark,0,100,20,0
Tera Blast,special,normal,80,100,10,0
Terrain Pulse,special,normal,50,100,10,0
Thief,physical,dark,60,100,25,0
Thrash,physical,normal,120,100,10,0
Throat Chop,physical,dark,80,100,15,0
Thunder,special,electric,110,70,10,0
Thunder Fang,physical,electric,65,95,15,0
Thunder Punch,physical,electric,75,100,15,0
Thunder Shock,special,electric,40,100,30,0
Thunder Wave,status,electric,0,90,20,0
Thunderbolt,special,electric,90,100,15,0
Tickle,status,normal,0,100,20,0
Tidy Up,status,normal,0,101,10,0
Torch Song,special,fire,80,100,10,0
Torment,status,dark,0,100,15,0
Toxic,status,poison,0,90,10,0
Toxic Spikes,status,poison,0,101,20,0
Trailblaze,physical,grass,50,100,20,0
Tri Attack,special,normal,80,100,10,0
Trick,status,psychic,0,100,10,0
Trick Room,status,psychic,0,101,5,-7
Triple Dive,physical,water,30,95,10,0
Twin Beam,special,psychic,40,100,10,0
U-turn,physical,bug,70,100,20,0
Uproar,special,normal,90,100,10,0
Venoshock,special,poison,65,100,10,0
Vise Grip,physical,normal,55,100,30,0
Volt Switch,special,electric,70,100,20,0
Water Gun,special,water,40,100,25,0
Water Pledge,special,water,80,100,10,0
Water Pulse,special,water,60,100,20,0
Waterfall,physical,water,80,100,15,0
Wave Crash,physical,water,120,100,10,0
Weather Ball,special,normal,50,100,10,0
Whirlpool,special,water,35,85,15,0
Whirlwind,status,normal,0,101,20,-6
Wide Guard,status,rock,0,101,10,3
Wild Charge,physical,electric,90,100,15,0
Will-O-Wisp,status,fire,0,85,15,0
Wing Attack,physical,flying,60,100,35,0
Wish,status,normal,0,101,10,0
Work Up,status,normal,0,101,30,0
Worry Seed,status,grass,0,100,10,0
Wrap,physical,normal,15,90,20,0
X-Scissor,physical,bug,80,100,15,0
Yawn,status,normal,0,101,10,0
Zap Cannon,special,electric,120,50,5,0
Zen Headbutt,physical,psychic,80,90,15,0
