name,types,levitate,weight,hp,attack,defense,special_attack,special_defense,speed,weakness_bug,weakness_dark,weakness_dragon,weakness_electric,weakness_fairy,weakness_fighting,weakness_fire,weakness_flying,weakness_ghost,weakness_grass,weakness_ground,weakness_ice,weakness_normal,weakness_poison,weakness_psychic,weakness_rock,weakness_steel,weakness_water
Alolan Sandshrew,ice;steel,0,40,50,75,90,10,35,40,0.5,1,0.5,1,0.5,4,4,0.5,1,0.5,2,0.25,0.5,0,0.5,1,1,1
Alolan Sandslash,ice;steel,0,55,75,100,120,25,65,65,0.5,1,0.5,1,0.5,4,4,0.5,1,0.5,2,0.25,0.5,0,0.5,1,1,1
Alolan Vulpix,ice;none,0,9.9,38,41,40,50,65,65,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Alomomola,water;none,0,31.6,165,75,80,40,45,65,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Altaria,dragon;flying,0,20.6,75,70,90,70,105,80,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
Altered Forme Giratina,ghost;dragon,0,750,150,100,120,100,120,90,0.5,2,2,0.5,2,0,0.5,1,2,0.5,1,2,0,0.5,1,1,1,0.5
Amaura,rock;ice,0,25.2,77,59,50,67,63,46,1,1,1,1,1,4,1,0.5,1,2,2,0.5,0.5,0.5,1,2,4,2
Ambipom,normal;none,0,20.3,75,100,66,60,66,115,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Amoonguss,grass;poison,0,10.5,114,85,70,85,80,30,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
Ampharos,electric;none,0,61.5,90,75,85,115,90,55,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Annihilape,fighting;ghost,0,56,110,115,80,50,90,90,0.25,1,1,1,2,0,1,2,2,1,1,1,0,0.5,2,0.5,1,1
Anorith,rock;bug,0,12.5,45,95,50,40,50,75,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
Appletun,grass;dragon,0,13,110,85,80,100,80,30,2,1,2,0.25,2,1,1,2,1,0.25,0.5,4,1,2,1,1,1,0.25
Applin,grass;dragon,0,0.5,40,40,80,40,40,20,2,1,2,0.25,2,1,1,2,1,0.25,0.5,4,1,2,1,1,1,0.25
Araquanid,water;bug,0,82,68,70,92,50,132,42,1,1,1,2,1,0.5,0.5,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5
Arbok,poison;none,0,65,60,95,69,65,79,80,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
Arboliva,grass;normal,0,48.2,78,69,90,125,109,39,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5
Arcanine,fire;none,0,155,90,110,80,100,80,95,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Arceus,normal;none,0,320,120,120,120,120,120,120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Archen,rock;flying,0,9.5,55,112,45,74,45,70,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
Archeops,rock;flying,0,32,75,140,65,112,65,110,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
Arctibax,ice;dragon,0,30,90,95,66,45,65,62,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5
Arctovish,water;ice,0,175,90,90,100,80,90,55,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0
Arctozolt,electric;ice,0,150,90,100,90,90,80,55,1,1,1,0,1,2,2,0.5,1,1,2,0.5,1,1,1,2,1,1
Ariados,bug;poison,0,33.5,70,90,70,60,70,40,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
Armaldo,rock;bug,0,68.2,75,125,100,70,80,45,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
Armarouge,fire;psychic,0,85,85,60,100,125,80,75,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2
Aromatisse,fairy;none,0,15.5,101,72,72,99,89,29,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Aron,steel;rock,0,60,50,70,100,40,40,30,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
Arrokuda,water;none,0,1,41,63,40,40,30,66,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Articuno,ice;flying,0,55.4,90,85,100,95,125,85,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
Audino,normal;none,0,31,103,60,86,60,86,50,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Aurorus,rock;ice,0,225,123,77,72,99,92,58,1,1,1,1,1,4,1,0.5,1,2,2,0.5,0.5,0.5,1,2,4,2
Avalugg,ice;none,0,505,95,117,184,44,46,28,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Axew,dragon;none,0,18,46,87,60,30,40,57,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
Azelf,psychic;none,1,0.3,75,125,70,125,70,115,2,2,1,1,1,0.5,1,1,2,1,0,1,1,1,0.5,1,1,1
Azumarill,water;fairy,0,28.5,100,50,80,60,80,50,0.5,0.5,0,2,1,0.5,0.25,1,1,2,1,0.25,1,2,1,1,1,0.5
Azurill,normal;fairy,0,2,50,20,40,20,40,20,0.5,0.5,0,1,1,1,0.5,1,0,1,1,0.5,1,2,1,1,2,1
Bagon,dragon;none,0,42.1,45,75,60,40,30,50,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
Baltoy,ground;psychic,1,21.5,40,40,55,40,70,55,2,2,1,0,1,0.5,1,1,2,2,0,2,1,0.5,0.5,0.5,1,2
Banette,ghost;none,0,12.5,64,115,65,83,63,65,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Barbaracle,rock;water,0,96,72,105,115,54,86,68,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
Barboach,water;ground,0,1.9,50,48,43,46,41,60,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
Barraskewda,water;none,0,30,61,123,60,60,50,136,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Basculegion female,water;ghost,0,110,120,92,65,100,75,78,0.5,2,1,2,1,0,0.5,1,2,2,1,0.5,0,0.5,1,1,0.5,0.5
Basculegion male,water;ghost,0,110,120,112,65,80,75,75,0.5,2,1,2,1,0,0.5,1,2,2,1,0.5,0,0.5,1,1,0.5,0.5
Basculin Blue-Striped Form,water;none,0,18,70,92,65,80,55,98,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Basculin Red-Striped Form,water;none,0,18,70,92,65,80,55,98,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Bastiodon,rock;steel,0,149.5,60,52,168,47,138,30,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
Baxcalibur,ice;dragon,0,210,115,145,92,75,86,87,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5
Bayleef,grass;none,0,15.8,60,62,80,63,80,60,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Beartic,ice;none,0,260,95,130,80,70,80,50,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Beautifly,bug;flying,0,28.4,60,70,50,100,50,65,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
Beedrill,bug;poison,0,29.5,65,90,40,45,80,75,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
Beheeyem,psychic;none,0,34.5,75,75,75,125,95,40,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Beldum,steel;psychic,0,95.2,40,55,80,35,60,30,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1
Bellibolt,electric,0,113,109,64,91,103,83,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Bellossom,grass;none,0,5.8,75,80,95,90,100,50,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Bellsprout,grass;poison,0,4,50,75,35,70,30,40,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
Bergmite,ice;none,0,99.5,55,69,85,32,35,28,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Bewear,normal;fighting,0,135,120,125,80,55,60,60,0.5,0.5,1,1,2,2,2,2,0,1,1,1,1,1,2,0.5,1,1
Bibarel,normal;water,0,31.5,79,85,60,55,60,71,1,1,1,2,1,2,0.5,1,0,2,1,0.5,1,1,1,1,0.5,0.5
Bidoof,normal;none,0,20,59,45,40,35,40,31,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Binacle,rock;water,0,31,42,52,67,39,56,50,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
Bisharp,dark;steel,0,70,65,125,100,60,70,70,1,0.5,0.5,1,1,4,2,0.5,0.5,0.5,2,0.5,0.5,0,0,0.5,0.5,1
Blacephalon,fire;ghost,0,13,53,127,53,151,79,107,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
Black Kyurem,dragon;ice,0,325,125,170,100,120,90,95,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5
Blastoise,water;none,0,85.5,79,83,100,85,105,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Blaziken,fire;fighting,0,52,80,120,70,110,70,80,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
Blipbug,bug;none,0,8,25,20,20,25,45,45,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Blissey,normal;none,0,46.8,255,10,10,75,135,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Blitzle,electric;none,0,29.8,45,60,32,50,32,76,1,1,1,0,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Boldore,rock;none,0,102,70,105,105,50,40,20,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Boltund,electric;none,0,34,69,90,60,90,60,121,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Bombirdier,flying;dark,0,42.9,70,103,85,60,85,82,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
Bonsly,rock;none,0,15,50,80,95,10,45,10,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Bouffalant,normal;none,0,94.6,95,110,95,40,95,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Bounsweet,grass;none,0,3.2,42,30,38,30,38,32,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Braixen,fire;none,0,14.5,59,59,58,90,70,73,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Brambleghast,grass;ghost,0,6,55,115,70,80,70,90,1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5
Bramblin,grass;ghost,0,0.6,40,65,30,45,35,60,1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5
Braviary,normal;flying,0,41,100,123,75,57,75,80,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Breloom,grass;fighting,0,39.2,60,130,80,60,60,70,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5
Brionne,water;none,0,17.5,60,69,69,91,81,50,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Bronzong,steel;psychic,1,187,67,89,116,79,116,33,1,2,0.5,1,0.5,1,2,0.5,2,0.5,0,0.5,0.5,0,0.25,0.5,0.5,1
Bronzor,steel;psychic,1,60.5,57,24,86,24,86,23,1,2,0.5,1,0.5,1,2,0.5,2,0.5,0,0.5,0.5,0,0.25,0.5,0.5,1
Brute Bonnet,dark;grass,0,21,111,127,99,79,99,55,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
Bruxish,water;psychic,0,19,68,105,70,70,70,92,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
Budew,grass;poison,0,1.2,40,30,35,50,70,55,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
Buizel,water;none,0,29.5,55,65,35,60,30,85,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Bulbasaur,grass;poison,0,6.9,45,49,49,65,65,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
Buneary,normal;none,0,5.5,55,66,44,44,56,85,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Bunnelby,normal;none,0,5,38,36,38,32,36,57,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Burmy,bug;none,0,3.4,40,29,45,29,45,36,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Butterfree,bug;flying,0,32,60,45,50,90,80,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
Buzzwole,bug;fighting,0,333.6,107,139,139,53,53,79,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1
Cacnea,grass;none,0,51.3,50,85,40,85,40,35,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Cacturne,grass;dark,0,77.4,70,115,60,115,60,55,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
Calyrex,psychic;grass,0,7.7,80,80,80,80,80,80,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
Calyrex Ice Rider,psychic;ice,0,8091.1,100,165,150,85,130,50,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
Calyrex Shadow Rider,psychic;ghost,0,53.6,100,85,80,165,100,150,1,4,1,1,1,0,1,1,4,1,1,1,0,0.5,0.5,1,1,1
Camerupt,fire;ground,0,220,70,100,70,105,75,40,0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4
Capsakid,grass,0,3,50,62,40,62,40,50,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Carbink,rock;fairy,0,5.7,50,50,150,50,150,50,0.5,0.5,0,1,1,1,0.5,0.5,1,2,2,1,0.5,1,1,1,4,2
Carkol,rock;fire,0,78,80,60,90,60,70,50,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4
Carnivine,grass;none,1,27,74,100,72,90,72,46,2,1,1,0.5,1,1,2,2,1,0.5,0,2,1,2,1,1,1,0.5
Carracosta,water;rock,0,81,74,108,133,83,65,32,1,1,1,1.5,1,1.5,0.25,0.5,1,3,1.5,0.5,0.5,0.5,1,1,1,1
Carvanha,water;dark,0,20.8,45,90,20,65,20,65,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5
Cascoon,bug;none,0,11.5,50,35,55,25,25,15,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Castform,normal;none,0,0.8,70,70,70,70,70,70,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Castform Rainy Form,water;none,0,0.8,70,70,70,70,70,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Castform Snowy Form,ice;none,0,0.8,70,70,70,70,70,70,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Castform Sunny Form,fire;none,0,0.8,70,70,70,70,70,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Caterpie,bug;none,0,2.9,45,30,35,20,20,45,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Celebi,psychic;grass,0,5,100,100,100,100,100,100,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
Celesteela,steel;flying,0,999.9,97,101,103,107,101,61,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1
Centiskorch,fire;bug,0,120,100,115,65,90,90,65,0.5,1,1,1,0.5,0.5,0,2,1,0.25,1,0.5,1,1,1,4,0.5,2
Ceruledge,fire;ghost,0,62,75,125,80,60,100,85,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
Cetitan,ice,0,700,170,113,65,45,55,73,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Cetoddle,ice,0,45,108,68,45,30,40,43,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Chandelure,ghost;fire,0,34.3,60,55,90,145,90,80,0.25,2,1,1,0.5,0,0,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
Chansey,normal;none,0,34.6,250,5,5,35,105,50,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Charcadet,fire,0,10.5,40,50,40,50,40,35,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Charizard,fire;flying,0,90.5,78,84,78,109,85,100,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
Charjabug,bug;electric,0,10.5,57,82,95,55,75,36,1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1,2,0.5,1
Charmander,fire;none,0,8.5,39,52,43,60,50,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Charmeleon,fire;none,0,19,58,64,58,80,65,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Chatot,normal;flying,0,1.9,76,65,45,92,42,91,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Cherrim,grass;none,0,9.3,70,60,70,87,78,85,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Cherubi,grass;none,0,3.3,45,35,45,62,53,35,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Chesnaught,grass;fighting,0,90,88,107,122,74,75,64,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5
Chespin,grass;none,0,9,56,61,65,48,45,38,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Chewtle,water;none,0,8.5,50,64,50,38,38,44,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Chi-Yu,dark;fire,0,4.9,55,80,80,135,120,100,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
Chien-Pao,dark;ice,0,152.2,80,120,80,90,65,135,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1
Chikorita,grass;none,0,6.4,45,49,65,49,65,45,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Chimchar,fire;none,0,6.2,44,58,44,58,44,61,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Chimecho,psychic;none,1,1,75,50,80,95,90,65,2,2,1,1,1,0.5,1,1,2,1,0,1,1,1,0.5,1,1,1
Chinchou,water;electric,0,12,75,38,38,56,56,67,1,1,1,0,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
Chingling,psychic;none,1,0.6,45,30,50,65,50,45,2,2,1,1,1,0.5,1,1,2,1,0,1,1,1,0.5,1,1,1
Cinccino,normal;none,0,7.5,75,95,60,65,60,115,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Cinderace,fire;none,0,33,80,116,75,65,75,119,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Clamperl,water;none,0,52.5,35,64,85,74,55,32,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Clauncher,water;none,0,8.3,50,53,62,58,63,44,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Clawitzer,water;none,0,35.3,71,73,88,120,89,59,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Claydol,ground;psychic,1,108,60,70,105,70,120,75,2,2,1,0,1,0.5,1,1,2,2,0,2,1,0.5,0.5,0.5,1,2
Clefable,fairy;none,0,40,95,70,73,95,90,60,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Clefairy,fairy;none,0,7.5,70,45,48,60,65,35,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Cleffa,fairy;none,0,3,50,25,28,45,55,15,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Clobbopus,fighting;none,0,4,50,68,60,50,50,32,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Clodsire,ground;poison,0,223,130,75,60,45,100,20,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
Cloyster,water;ice,0,132.5,50,95,180,85,45,70,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
Coalossal,rock;fire,0,310.5,110,80,120,80,90,30,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4
Cobalion,steel;fighting,0,250,91,90,129,90,72,108,0.25,0.5,0.5,1,1,2,2,1,1,0.5,2,0.5,0.5,0,1,0.25,0.5,1
Cofagrigus,ghost;none,0,76.5,58,50,145,95,105,30,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Combee,bug;flying,0,5.5,30,30,42,30,42,70,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
Combusken,fire;fighting,0,19.5,60,85,60,85,60,55,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
Comfey,fairy;none,0,0.3,51,52,90,82,110,100,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Conkeldurr,fighting;none,0,87,105,140,95,55,65,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
